term;term.soort;term.status;bron;term.nummer;scope_note
Dessau;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7012804;""
pH-meter;objectnaam;descriptor;https://www.wikidata.org/entity/;Q300965;""
Jamaica (Queens);geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7015863;""
Tucson (Arizona);geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7014661;""
Dalhem;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7247175;""
Court-Saint-Etienne;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7008739;""
linoleum;materiaal;descriptor;http://vocab.getty.edu/aat/;300069563;""
binnenzijde deur;inscriptie positie;kandidaat;"";"";""
balustrade;objectnaam;descriptor;http://vocab.getty.edu/aat/;300001989;Kapmuurtjes of lage schermen die bestaan uit balusters en die een railing of een ander horizontaal onderdeel dragen dat in verhouding tot de balusters zelf meestal vrij zwaar is.
spijkerbed;objectnaam;descriptor;https://www.wikidata.org/entity/;Q1562620;""
koffiepot;objectnaam$onderwerp;descriptor;http://vocab.getty.edu/aat/;300072215;Hoge potten met deksel en tuit voor het bereiden en serveren van koffie, met een handvat en soms op voetjes. 
torsiebalans;objectnaam;descriptor;http://vocab.getty.edu/aat/;300224846;"Balansen waarbij de weegoppervlakken kleine platte platformpjes of ondiepe schaaltjes zijn, die weinig uitslag hebben en op de balk zijn geplaatst; wordt gebruikt met conventionele gewichten of een waagbalk."
onderstel (fornuis);objectnaam;descriptor;"";"";""
onderstel (naaimachine);objectnaam;descriptor;"";"";""
Geldermalsen;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1047780;""
Gütersloh;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7012471;""
schoudertas;objectnaam;descriptor;http://vocab.getty.edu/aat/$http://www.wikidata.org/entity/;300216945$Q29486521;""
schijf;inscriptie positie;descriptor;http://vocab.getty.edu/aat/;300251427;""
Waldshut;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7012754;""
Lahr;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7012548;""
harde schijf;objectnaam;descriptor;http://vocab.getty.edu/aat/;300266292;""
voelermaat;objectnaam;descriptor;"";"";""
geiser;objectnaam;descriptor;"";"";""
garenbalans;objectnaam;descriptor;"";"";""
achterzijde naaimachine;inscriptie positie;niet gedefinieerd;"";"";""
binnenzijde schuif;inscriptie positie;niet gedefinieerd;"";"";""
bovenzijde platenspeler;inscriptie positie;descriptor;"";"";""
weerszijden verpakking;inscriptie positie;niet gedefinieerd;"";"";""
zijkant krultang;inscriptie positie;niet gedefinieerd;"";"";""
deegmachine;objectnaam;niet gedefinieerd;"";"";""
toilet;objectnaam$trefwoord;descriptor;http://vocab.getty.edu/aat/;300052638;Sanitaire voorziening,waar men zijn of haar behoeften op kan doen. Bestaande meestal uit een bak met toiletzitting die met water gespoeld wordt. 
bascule;objectnaam;niet gedefinieerd;"";"";""
Molenschot;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7270081;""
tandenstokerhouder;objectnaam;niet gedefinieerd;"";"";""
plaquette;objectnaam;niet gedefinieerd;"";"";""
garen aanknoper;objectnaam$onderwerp;descriptor;"";"";""
pedestal;objectnaam;descriptor;http://vocab.getty.edu/aat/;300001744;""
Haaksbergen;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1047809;""
Renningen / Württemberg;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7012673;""
dradenteller;objectnaam;descriptor;"";"";""
Moselle;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7002972;""
adelbrief;objectnaam;descriptor;"";"";""
Jauche;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7244013;""
slang;objectnaam;niet gedefinieerd;"";"";""
Saragossa;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7008813;""
ontspanner;inscriptie positie;descriptor;"";"";""
scheermachine;objectnaam;descriptor;"";"";""
Parma;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7004942;""
weerszijden deksel;inscriptie positie;niet gedefinieerd;"";"";""
wals;objectnaam;descriptor;http://vocab.getty.edu/aat/;300022277;""
Belgisch;nationaliteit;niet gedefinieerd;"";"";""
Fürth;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7013366;""
Budapest;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7006280;""
gewichtjes;inscriptie positie;niet gedefinieerd;"";"";""
koolstofborstel;objectnaam;niet gedefinieerd;"";"";""
Meilen;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1064228;""
Giessen;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7004429;""
Neu-Ulm;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1040431;""
Langley (UK);geografisch trefwoord;niet gedefinieerd;"";"";""
materiaalkist;objectnaam;descriptor;"";"";""
Zweeds;taal;descriptor;https://www.wikidata.org/entity/;Q9027;""
Franière;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7237941;""
kaarssnuiter;objectnaam;descriptor;http://vocab.getty.edu/aat/;300181446;"Instrumenten voor het afknippen van de pitten van kaarsen en lampen om het uiteinde van de pit gelijkmatig te maken en schoon te houden; meestal in de vorm van scharen met een doosvormig bakje aan een blad om de afgeknipte eindjes van de verkoolde pit op te vangen. "
Göppingen;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7012466;""
vuursteen;materiaal;descriptor;http://vocab.getty.edu/aat/;300011143;""
Nederlands, Frans, Engels, Duits;taal;niet gedefinieerd;"";"";""
voorwerpglas;objectnaam;descriptor;"";"";""
33-toerenplaat;objectnaam;non-descriptor;"";"";""
Tessenderlo;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1026757;""
Hildesheim;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7005248;""
waarborg;soort opschrift;niet gedefinieerd;"";"";""
Frans, Engels, Italiaans;taal;niet gedefinieerd;"";"";""
Åtvidaberg;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1062751;""
45-toerenplaat;objectnaam;non-descriptor;"";"";""
microchip;objectnaam;niet gedefinieerd;"";"";""
Engels, Frans, Duits, Italiaans, Spaans, Portugees, Pools;taal;niet gedefinieerd;"";"";""
effileerschaar;objectnaam;descriptor;"";"";""
ontwaardingstoestel;objectnaam;niet gedefinieerd;"";"";""
katoenlont;objectnaam;descriptor;"";"";""
voedingsmodule;objectnaam;niet gedefinieerd;"";"";""
informatiezuil;objectnaam;niet gedefinieerd;"";"";""
meniscus;objectnaam;niet gedefinieerd;"";"";""
Oxford;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7011931;""
ethanol;materiaal;descriptor;http://vocab.getty.edu/aat/;300015231;""
Athol, Massachusetts;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7020033;""
zijkant kist;inscriptie positie;niet gedefinieerd;"";"";""
bovenkant kist;inscriptie positie;kandidaat;"";"";""
